course_code,course_name,semester,credits_ects,grade,category
SFB10419,Financial Accounting with Analysis 1,2023 autumn,10,B,Core
SFB10519,Marketing,2023 autumn,10,A,Core
OKA101,Mathematics for Economists,2023 autumn,10,B,Core
SFB10120,Organisational Theory,2024 spring,10,B,Core
SFB10314,Introduction to Business Economics,2024 spring,10,A,Core
SFB10916,Macroeconomics,2024 spring,10,A,Core
SFB10613,Cost Accounting and Budgeting,2024 autumn,10,A,Core
OKA120,Statistics and Social Science Methods,2024 autumn,10,A,Core
OKA121,Sustainability and Corporate Strategy,2024 autumn,10,B,Core
SFB10816,Microeconomics,2025 spring,10,A,Core
SFB11016,Finance and Investment,2025 spring,10,A,Core
SFB17021,"Ethics, Social Responsibility, Sustainability",2025 spring,10,B,Core
SFB12320,Strategic Financial Management,2025 autumn,10,A,Specialisation: Economic Analysis
SFB30820,Finance Theory,2025 autumn,10,A,Specialisation: Economic Analysis
SFB30920,Industrial Organization,2025 autumn,10,A,Specialisation: Economic Analysis
ØKA30624,"Regnskapsføring (regnskapsførerregelverket, regnskapsorganisering og forretningsforståelse)",2025 autumn,10,B,Extra
SFB11615,International Economics,2026 spring,10,A,Specialisation: Economic Analysis
SFB12614,International Finance,2026 spring,10,A,Specialisation: Economic Analysis
OKA201,Data Analysis and Programming for Economists,2026 spring,10,A,Specialisation: Economic Analysis
PROEVO,ProEVOcation - Project Experience for Environmental Value Oriented Education (Univ. of Chieti-Pescara),2025 autumn,6,Recognized,Optional / Study Abroad
CURRISS2,Current Issues 2 - Current Issues in Management and Finance (Budapest Univ. of Economics and Business),2026 spring,3,Recognized,Optional / Study Abroad
ECO400,"Decisions, Strategy and Information",2026 autumn,7.5,In progress,Current (NHH MBA)
ECO422,Advanced Corporate Finance,2026 autumn,7.5,In progress,Current (NHH MBA)
ECO423,Advanced Derivatives,2026 autumn,7.5,In progress,Current (NHH MBA)
ECO433,Empirical Strategies for Causal Analysis,2026 autumn,7.5,In progress,Current (NHH MBA)
FIE401,Financial Econometrics,2026 autumn,7.5,In progress,Current (NHH MBA)
FIE437,Valuation,2026 autumn,7.5,In progress,Current (NHH MBA)
SKL402,Introduction to R,2026 autumn,2.5,In progress,Current (NHH MBA)
