date,ticker,name,isin,is_fund,type,quantity,amount_nok,fees_nok,native_price,native_currency,account,realized_gain_nok
2023-03-23,AAPL,Apple,US0378331005,False,BUY,2.0,3387.52,99.0,158.0,USD,Aksje og fondskonto,
2023-04-12,MC.PA,Lvmh Moet Hennessy Louis Vuitton SE,FR0000121014,False,BUY,1.0,9860.83,128.2,842.4,EUR,Aksje og fondskonto,
2023-04-18,EQNR.OL,Equinor,NO0010096985,False,BUY,3.0,998.05,79.0,306.35,NOK,ASK,
2023-05-04,MOWI.OL,Mowi,NO0003054108,False,BUY,12.0,2448.4,79.0,197.4499,NOK,ASK,
2023-08-02,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,6.8112,1000.0,0.0,146.816,NOK,ASK,
2023-08-15,MC.PA,Lvmh Moet Hennessy Louis Vuitton SE,FR0000121014,False,BUY,1.0,9378.56,126.76,804.7,EUR,Aksje og fondskonto,
2023-09-27,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,BUY,18.9572,2000.0,0.0,105.501,NOK,Fondskonto,
2023-10-10,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,BUY,47.2968,5000.0,0.0,105.7154,NOK,Fondskonto,
2023-10-16,NO0010710452,Fondsfinans High Yield A,NO0010710452,True,BUY,0.2688,2999.0,0.0,11155.3637,NOK,Fondskonto,
2023-10-20,NO0010860349,Fondsfinans Utbytte A,NO0010860349,True,BUY,0.2184,4000.0,0.0,18314.6846,NOK,ASK,
2023-11-01,NO0010876469,Storebrand Nordic High Yield N,NO0010876469,True,BUY,6.493,7000.0,0.0,1078.0794,NOK,Fondskonto,
2023-11-02,NO0010782519,Heimdal Høyrente A - Rentefond NOK,NO0010782519,True,BUY,16.6229,2000.0,0.0,120.3156,NOK,Fondskonto,
2023-11-02,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,6.5472,1000.0,0.0,152.736,NOK,ASK,
2023-11-09,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.2183,4000.0,0.0,,NOK,ASK,
2023-11-09,NO0010860349,Fondsfinans Utbytte A,NO0010860349,True,SELL,0.2184,4000.0,0.0,,NOK,ASK,0.0
2023-11-17,NO0010776040,KLP AksjeGlobal Indeks P,NO0010776040,True,BUY,0.7559,2000.0,0.0,2645.8511,NOK,ASK,
2023-11-17,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,6.5638,1000.0,0.0,152.35,NOK,ASK,
2023-11-24,CP,Canadian Pacific Kansas City,CA13646K1084,False,BUY,3.0,2320.73,0.0,72.15,USD,Aksje og fondskonto,
2023-11-28,NO0010782519,Heimdal Høyrente A - Rentefond NOK,NO0010782519,True,BUY,8.2081,1000.0,0.0,121.8302,NOK,Fondskonto,
2023-11-29,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,BUY,2.0,2172.72,3.25,689.0,DKK,Aksje og fondskonto,
2023-12-07,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,BUY,2.0,2125.96,3.18,671.1,DKK,ASK,
2023-12-19,NO0010782519,Heimdal Høyrente A - Rentefond NOK,NO0010782519,True,BUY,24.3943,3000.0,0.0,122.9798,NOK,Fondskonto,
2023-12-19,MSFT,Microsoft,US5949181045,False,BUY,1.0,3868.47,49.0,370.0,USD,Aksje og fondskonto,
2023-12-22,MOWI.OL,Mowi,NO0003054108,False,BUY,6.0,1051.58,1.58,175.0,NOK,ASK,
2023-12-28,NO0010710452,Fondsfinans High Yield A,NO0010710452,True,BUY,0.265,3000.0,0.0,11322.4593,NOK,Fondskonto,
2023-12-29,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,BUY,3.9468,401.33,0.0,101.6848,NOK,Fondskonto,
2023-12-29,NO0010782519,Heimdal Høyrente A - Rentefond NOK,NO0010782519,True,BUY,2.9807,348.86,0.0,117.0405,NOK,Fondskonto,
2023-12-29,NO0010710452,Fondsfinans High Yield A,NO0010710452,True,BUY,0.0437,459.22,0.0,10511.6284,NOK,Fondskonto,
2023-12-29,NO0010876469,Storebrand Nordic High Yield N,NO0010876469,True,BUY,0.4004,416.2,0.0,1039.4219,NOK,Fondskonto,
2024-01-04,AAPL,Apple,US0378331005,False,BUY,2.0,3817.25,49.0,182.0,USD,Aksje og fondskonto,
2024-01-05,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,15.711,2420.0,0.0,154.032,NOK,ASK,
2024-01-12,NO0010782519,Heimdal Høyrente A - Rentefond NOK,NO0010782519,True,BUY,25.393,3000.0,0.0,118.1429,NOK,Fondskonto,
2024-01-12,NO0010279029,Landkreditt Høyrente A,NO0010279029,True,BUY,14.7033,1500.0,0.0,102.0181,NOK,Fondskonto,
2024-01-12,NO0013023234,Fondsfinans Utbytte B,NO0013023234,True,BUY,0.0508,1000.0,0.0,19695.2255,NOK,ASK,
2024-01-12,NO0010710452,Fondsfinans High Yield A,NO0010710452,True,BUY,0.2842,3000.0,0.0,10555.1206,NOK,Fondskonto,
2024-01-12,IE00BMTD2N07,Nordnet Europa Indeks NOK,IE00BMTD2N07,True,BUY,16.5267,2500.0,0.0,151.27,NOK,ASK,
2024-01-12,NO0010876469,Storebrand Nordic High Yield N,NO0010876469,True,BUY,1.4318,1500.0,0.0,1047.6645,NOK,Fondskonto,
2024-01-16,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,15.6538,2500.0,0.0,159.706,NOK,ASK,
2024-01-31,GOOGL,Alphabet A,US02079K3059,False,BUY,3.0,4538.18,49.0,143.41,USD,Aksje og fondskonto,
2024-02-07,EQNR.OL,Equinor,NO0010096985,False,BUY,3.0,855.08,1.28,284.6,NOK,ASK,
2024-03-19,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,28.3558,5000.0,0.0,176.331,NOK,ASK,
2024-03-22,NO0012948878,Heimdal Høyrente N,NO0012948878,True,BUY,77.5983,9348.86,0.0,,NOK,Fondskonto,
2024-03-22,NO0010782519,Heimdal Høyrente A - Rentefond NOK,NO0010782519,True,SELL,77.599,9348.86,0.0,,NOK,Fondskonto,0.0
2024-04-04,NOVO-B.CO,Novo Nordisk B,DK0062498333,False,BUY,2.0,2701.56,4.05,865.0,DKK,ASK,
2024-04-05,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,37.9422,7000.0,0.0,184.491,NOK,ASK,
2024-04-09,V,Visa,US92826C8394,False,BUY,2.0,5921.65,49.0,275.0,USD,Aksje og fondskonto,
2024-04-12,CP,Canadian Pacific Kansas City,CA13646K1084,False,BUY,4.0,3802.9,49.0,86.02,USD,Aksje og fondskonto,
2024-04-22,IE00BNNLSM87,Nordnet Teknologi Indeks NOK,IE00BNNLSM87,True,BUY,2.7642,490.0,0.0,177.266,NOK,ASK,
2024-04-22,IE00BMTD2J60,Nordnet Global Indeks NOK,IE00BMTD2J60,True,BUY,56.9856,10000.0,0.0,175.483,NOK,ASK,
2024-04-26,EPR.OL,Europris,NO0010735343,False,BUY,10.0,689.03,1.03,68.8,NOK,ASK,
2024-04-30,AMZN,Amazon.com,US0231351067,False,BUY,2.0,3946.48,49.0,175.0,USD,Aksje og fondskonto,
